"","unix","low","high","open","close","BTC-USD volume"
"100",1642204800,42577.35,43819.39,43090.72,43098.2,6318.38550193
"101",1642118400,41752,43473.98,42576.27,43090.72,13545.75086459
"102",1642032000,42325,44453.22,43921.21,42581.65,14772.09478571
"103",1641945600,42459.21,44342.83,42749.84,43920.37,16250.21469714
"104",1641859200,41274.8,43130,41824.06,42753.44,19697.46613255
"105",1641772800,39650,42250,41876.52,41824.07,25232.35739583
"106",1641686400,41209.53,42831.12,41684.84,41876.52,11074.22498167
"107",1641600000,40505.3,42318.97,41564.57,41684.84,15454.11315131
"108",1641513600,40571.53,43144.72,43081.79,41565.18,26122.19990673
"109",1641427200,42432.99,43794.5,43446.34,43083.76,20780.04784989
"110",1641340800,42500,47076.55,45817.13,43436.04,25067.67476765
"111",1641254400,45515,47532.89,46459.57,45814.61,16320.32712866
"112",1641168000,45700,47583.33,47299.06,46459.56,10841.81020453
"113",1641081600,46633.36,47990,47733.43,47299.07,6833.49845548
"114",1640995200,46205,47967.12,46211.24,47733.43,9463.6617111
"115",1640908800,45650,48574.7,47122.09,46211.24,19010.24134509
"116",1640822400,45938.44,47926.15,46471.24,47122.08,27413.65364976
"117",1640736000,46094.02,48149.58,47542.2,46471.24,20326.32142372
"118",1640649600,47300.23,50720.35,50720.35,47543.09,23116.75583707
"119",1640563200,50480,52100,50804.33,50717.77,11596.91468191
"120",1640476800,49460,51295.33,50428.31,50801.79,6863.39473781
"121",1640390400,50191.84,51171.68,50852.31,50428.31,5550.57153185
"122",1640304000,50445.55,51878.6,50842.06,50851.38,11690.45418179
"123",1640217600,48032.16,51397.82,48608.61,50842.2,16627.04627954
"124",1640131200,48450,49595,48914.7,48608.62,10753.4990677
"125",1640044800,46645.05,49339.31,46926.07,48914.7,15461.4105731
"126",1639958400,45568,47548.93,46687.2,46926.07,16039.38510407
"127",1639872000,46440.11,48351.92,46857.49,46687.19,9518.7071282
"128",1639785600,45515.72,47368.73,46159.87,46859.46,8170.85303229
"129",1639699200,45469.32,48000,47634.2,46166.5,18556.07900007
"130",1639612800,47524.66,49459.39,48878.83,47634.22,12731.23681745
"131",1639526400,46530,49500,48359.23,48884.78,21621.70983741
"132",1639440000,46300,48686.91,46727.89,48367.43,17107.0342879
"133",1639353600,45727.92,50218.42,50089.64,46727.89,20797.28834629
"134",1639267200,48665.43,50828.13,49424.47,50089.64,10411.08180306
"135",1639180800,46786.78,49517.18,47170.94,49407.75,11045.22374119
"136",1639094400,46900,50148.49,47568.43,47170.94,15689.5742182
"137",1639008000,47323.23,50844.86,50520.94,47568.43,15749.4243393
"138",1638921600,48650.02,51250,50625.24,50519.68,13138.99183299
"139",1638835200,50067.1,51995,50529.56,50625.48,14107.33216632
"140",1638748800,47200,51105,49484.21,50529.56,23082.30465624
"141",1638662400,47827,49783,49235.26,49484.22,21727.13821193
"142",1638576000,42333,53876.09,53633.02,49241.12,39023.32978526
"143",1638489600,51640,57670.68,56521.45,53638.04,19567.63113833
"144",1638403200,55845,57423.69,57226.51,56521.46,12969.21952648
"145",1638316800,56465.75,59118.84,56998.35,57226.5,16607.30872879
"146",1638230400,55910.33,59249.77,57838.06,56987.97,18038.78770838
"147",1638144000,56730,58908.27,57318.51,57838.06,13454.23335496
"148",1638057600,53327,57490,54759.04,57317.17,8222.42493442
"149",1637971200,53642.58,55316.67,53757.67,54759.05,7899.30349126
"150",1637884800,53533,59194,58994.72,53757.67,25946.30174683
"151",1637798400,57037.04,59445.99,57158.58,58987.27,10668.67680723
"152",1637712000,55875.01,57607.97,57562.65,57162.66,12509.25971944
"153",1637625600,55377,57886.03,56280.81,57566.85,14019.78167156
"154",1637539200,55641.03,59526.51,58671.22,56280.81,15889.22078935
"155",1637452800,58509.69,60070,59760.76,58671.21,6661.36635434
"156",1637366400,57423.35,59900,58122.15,59760.76,7584.65241653
"157",1637280000,55625,58412.12,56898.46,58122.16,18554.56064192
"158",1637193600,56514.13,60977.21,60351.51,56898,26749.21203012
"159",1637107200,58380,60824.38,60101.56,60351.51,20907.21545076
"160",1637020800,58638,63624.6,63621.05,60107.98,24910.15267457
"161",1636934400,63371,66339.9,65505.03,63624.59,10426.55522646
"162",1636848000,63596.9,65525,64400.01,65505.02,6081.57225975
"163",1636761600,63394.17,64990,64144.42,64400.01,5968.10354833
"164",1636675200,62300,65477.06,64807.73,64147.9,13658.626579
"165",1636588800,64133.78,65600,64912.2,64807.59,10259.51472415
"166",1636502400,62800,69000,66938.76,64912.2,19030.24517744
"167",1636416000,66261.79,68568.85,67554.13,66944.66,14996.62508818
"168",1636329600,63309.12,67792.77,63309.12,67554.84,17661.87297159
"169",1636243200,61397.86,63327.96,61539.3,63309.13,5596.02460734
"170",1636156800,60125,61599.25,61006.14,61539.31,6366.43859189
"171",1636070400,60777,62638.59,61444.49,61006.15,10598.79620286
"172",1635984000,60728.77,63114.14,62935.4,61444.5,11051.75853921
"173",1635897600,60070,63568.36,63266.5,62935.41,12951.87181247
"174",1635811200,60672.16,64300,60956.4,63266.51,13694.11539462
"175",1635724800,59500,62500,61346.17,60949.54,11724.34161877
"176",1635638400,60001,62427.02,61896.38,61343.68,8371.1698899
"177",1635552000,60725.01,62379.2,62287.95,61892.41,6793.59698552
"178",1635465600,60188.73,62974,60591.63,62276.72,15497.01101939
"179",1635379200,57653.88,62477.47,58462.73,60591.65,19354.49897509
"180",1635292800,58100,61488,60333.19,58455.47,18856.68565412
"181",1635206400,59837.07,63290.49,63081.96,60337.62,12181.48144997
"182",1635120000,60653.5,63726.58,60847.91,63083.54,10496.58058683
"183",1635033600,59522.89,61491.96,61300.02,60854.48,8573.72719199
"184",1634947200,59650,61750,60682.88,61300.01,6708.15013802
"185",1634860800,60000,63750,62204.01,60687.64,17217.70765017
"186",1634774400,62050,66650.85,66021.26,62204.02,23474.39133313
"187",1634688000,63525,66999,64303.14,66026.54,19194.45410878
"188",1634601600,61333,64500,62042.4,64303.14,17380.30486176
"189",1634515200,59887.74,62675.19,61530.07,62042.41,19798.1489024
"190",1634428800,58943.83,61744.17,60867.05,61527.11,9153.32273471
"191",1634342400,60139.01,62350,61690.32,60877.42,10161.25819825
"192",1634256000,56867.11,62910,57359.51,61695.39,27105.19764492
"193",1634169600,56832.32,58520.71,57367.32,57359.51,12198.02457938
"194",1634083200,54236.09,57771.33,56005.1,57367.32,14691.01338574
"195",1633996800,53873.78,57674.55,57485.97,56005.1,15457.00896085
"196",1633910400,54411.54,57833.23,54683.09,57487.44,13422.42081815
"197",1633824000,54112.95,56545.24,54963.29,54690.53,9370.1912382
"198",1633737600,53675,55500,53965.18,54962.29,7123.05512404
"199",1633651200,53634.41,56113,53805.46,53963.82,12416.9019906
"200",1633564800,53379,55356.85,55346.95,53797.82,15820.83417633
"201",1633478400,50416.01,55757.11,51499.77,55339.48,25869.64925998
"202",1633392000,49057.18,51906.23,49244.13,51493.99,17828.59726658
"203",1633305600,46916.7,49505,48233.99,49245.54,13938.64182971
"204",1633219200,47120.11,49300,47663.74,48233.99,7989.25925892
"205",1633132800,47451,48359.33,48165.76,47657.69,7262.63442143
"206",1633046400,43287.44,48500,43828.89,48165.76,20095.33155568
"207",1632960000,41409.67,44110.17,41519.11,43824.43,12835.9838101
"208",1632873600,40750.12,42638.99,41030.19,41522.16,10303.30152312
"209",1632787200,40897.7,42780,42166.31,41026.07,10491.81363045
"210",1632700800,42111,44366.96,43172.17,42171.76,10094.77099806
"211",1632614400,40803,43937,42705.51,43178.02,9971.64545213
"212",1632528000,41675,42998.76,42848.44,42705.51,7383.32390261
"213",1632441600,40683.29,45200,44896.55,42848.92,22451.57711462
"214",1632355200,43096.73,45000,43575.19,44897.59,13446.87468684
"215",1632268800,40570.42,44035.44,40736.81,43575.1,19462.53865157
"216",1632182400,39600,43639.88,43007.69,40719.6,27275.33818249
"217",1632096000,42500,47358.92,47253.71,43012.97,27706.67636162
"218",1632009600,46850.87,48379.19,48309.86,47255.92,7086.34626236
"219",1631923200,47050,48825.62,47306.87,48314.56,7491.03449237
"220",1631836800,46752.67,48176.64,47753.15,47303.5,9088.56956453
"221",1631750400,47020.82,48499.99,48144.03,47753.16,11739.27966629
"222",1631664000,46705,48475,47127.81,48148.12,12139.84206628
"223",1631577600,44679.92,47274.92,44953.23,47127.22,12644.16435358
"224",1631491200,43465,46900,46027.8,44947.72,15015.30289712
"225",1631404800,44754.31,46462.98,45173.66,46024.23,6499.85821749
"226",1631318400,44730.29,45989.94,44850.37,45171.83,6207.38337004
"227",1631232000,44140.48,47040.76,46396.26,44851.45,14905.54795341
"228",1631145600,45511.82,47400,46059.94,46400,13594.64633403
"229",1631059200,44423.49,47381.47,46894.49,46060.36,19624.55093117
"230",1630972800,42830.77,52944.96,52698.8,46894.5,29022.815351
"231",1630886400,51020.08,52802.03,51789.17,52698.81,9571.75471136
"232",1630800000,49500,51907.08,49944.89,51789.17,7743.93472308
"233",1630713600,49400,50558.75,50025,49942.98,7595.48816499
"234",1630627200,48349.66,51064.44,49279.38,50025,14577.22621879
"235",1630540800,48620.73,50392.19,48834.27,49279.37,14120.3826407
"236",1630454400,46537.62,49125,47110.33,48839.86,13010.83839478
"237",1630368000,46708.93,48259.68,46996.8,47112.5,12919.43970212
"238",1630281600,46866,48906.51,48802.58,46993.71,12249.23741495
"239",1630195200,47801,49667.1,48942.89,48802.58,6935.09511006
"240",1630108800,48370,49309.83,49081.08,48942.94,4895.70191319
"241",1630022400,46361.01,49185.12,46851.47,49077.57,8924.12247655
"242",1629936000,46315.48,49365.1,48991.57,46851.47,11651.34373853
"243",1629849600,47122.02,49277,47682.45,48987.33,9289.23177109
"244",1629763200,47600,49875.9,49504.53,47682.45,12068.33823315
"245",1629676800,49012.84,50505,49284.38,49506.5,10824.26838095
"246",1629590400,48102.89,49526.13,48870.21,49284.63,6243.39643384
"247",1629504000,48285.28,49821.92,49349.99,48867.02,9574.83615164
"248",1629417600,46644.95,49400,46769.02,49342.4,13184.67048641
"249",1629331200,43955,47088.08,44709.1,46765.87,11938.12185013
"250",1629244800,44216.47,46035.27,44675.34,44707.98,10327.49887365
"251",1629158400,44405.39,47174.62,45903.22,44671.58,12756.14777945
"252",1629072000,45676.91,48076.52,47014.38,45902.46,10467.66031475
"253",1628985600,45525.19,47400,47109.64,47014.49,7745.70200802
"254",1628899200,46034.93,48176.52,47833.64,47109.65,8130.36769388
"255",1628812800,44249.64,47953.9,44422.15,47833.64,11794.94196257
"256",1628726400,43714.36,46223.95,45553.1,44422.14,13169.78176994
"257",1628640000,45350.74,46781.09,45601.82,45553.49,11628.32043954
"258",1628553600,44650.27,46718.44,46280,45595.66,13756.50066875
"259",1628467200,42821.3,46497.42,43829.15,46285.48,19464.72493503
"260",1628380800,43131.97,45363.83,44628.11,43829.14,18712.27158173
"261",1628294400,42457.27,44750,42869.59,44637.34,19634.79475606
"262",1628208000,39876.74,43399.26,40888.73,42869.58,20425.1145444
"263",1628121600,37300,41447.89,39718.9,40888.74,28507.85532682
"264",1628035200,37509,39965.1,38189.4,39722.41,15327.67624669
"265",1627948800,37627.21,39785.3,39149.59,38191.44,15094.81739624
"266",1627862400,38690,40459.68,39859.18,39149.59,12379.41216528
"267",1627776000,39426,42605.64,41499,39865.41,10617.67293456
"268",1627689600,41064.11,42414.61,42233.66,41495.01,9351.94288576
"269",1627603200,38342,42320.57,40039.44,42237.95,15063.2344059
"270",1627516800,39229.47,40644.85,40035.1,40039.44,11022.42512817
"271",1627430400,38803.34,40925.56,39475.99,40035.1,27198.33358111
"272",1627344000,36413.26,39550,37262.76,39470.48,24709.10440908
"273",1627257600,35251.54,40593.93,35428.25,37262.77,40354.54555841
"274",1627171200,33888.89,35451.04,34291.67,35428.26,9434.63002297
